sqft,bedrooms,bathrooms,clean_type,clutter,fridge,oven,labor_hours,clock_hours,rate_check_hours,price,solo_label,solo_hours,solo_price
800,2,4,standard,high,no,yes,3.77,1.89,5.53,170,SOLO STANDARD,3.77,170
800,2,4,standard,high,yes,no,2.83,1.42,5.13,130,SOLO STANDARD,2.83,125
800,2,4,standard,high,yes,yes,3.46,1.73,7.23,155,SOLO STANDARD,3.46,155
800,2,4,deep,low,no,no,3.92,1.96,2.15,175,SOLO DEEP,3.92,175
800,2,4,deep,low,no,yes,4.55,2.27,4.25,205,SOLO DEEP,4.55,205
800,2,4,deep,low,yes,no,3.61,1.8,3.85,160,SOLO DEEP,3.61,160
800,2,4,deep,low,yes,yes,4.24,2.12,5.95,190,SOLO DEEP,4.24,190
800,2,4,deep,medium,no,no,4.22,2.11,2.78,190,SOLO DEEP,4.22,190
800,2,4,deep,medium,no,yes,4.84,2.42,4.88,220,SOLO DEEP,4.84,220
800,2,4,deep,medium,yes,no,3.9,1.95,4.48,175,SOLO DEEP,3.9,175
800,2,4,deep,medium,yes,yes,4.53,2.27,6.58,205,SOLO DEEP,4.53,205
800,2,4,deep,high,no,no,4.94,2.47,6.89,220,SOLO DEEP,4.94,220
800,2,4,deep,high,no,yes,5.57,2.78,8.99,250,SOLO DEEP,5.57,250
800,2,4,deep,high,yes,no,4.63,2.31,8.59,210,SOLO DEEP,4.63,210
800,2,4,deep,high,yes,yes,5.26,2.63,10.69,235,SOLO DEEP,5.26,235
800,2,5,standard,low,no,no,2.28,1.14,1.07,105,SOLO STANDARD,2.28,105
800,2,5,standard,low,no,yes,2.91,1.45,3.17,130,SOLO STANDARD,2.91,130
800,2,5,standard,low,yes,no,1.97,0.98,2.77,90,SOLO STANDARD,1.97,90
800,2,5,standard,low,yes,yes,2.6,1.3,4.87,115,SOLO STANDARD,2.6,115
800,2,5,standard,medium,no,no,2.57,1.29,1.38,115,SOLO STANDARD,2.57,115
800,2,5,standard,medium,no,yes,3.2,1.6,3.48,145,SOLO STANDARD,3.2,145
800,2,5,standard,medium,yes,no,2.26,1.13,3.08,100,SOLO STANDARD,2.26,100
800,2,5,standard,medium,yes,yes,2.89,1.45,5.18,130,SOLO STANDARD,2.89,130
800,2,5,standard,high,no,no,3.3,1.65,3.43,150,SOLO STANDARD,3.3,150
800,2,5,standard,high,no,yes,3.92,1.96,5.53,175,SOLO STANDARD,3.92,175
800,2,5,standard,high,yes,no,2.98,1.49,5.13,135,SOLO STANDARD,2.98,135
800,2,5,standard,high,yes,yes,3.61,1.81,7.23,165,SOLO STANDARD,3.61,160
800,2,5,deep,low,no,no,4.07,2.04,2.15,185,SOLO DEEP,4.07,185
800,2,5,deep,low,no,yes,4.7,2.35,4.25,210,SOLO DEEP,4.7,210
800,2,5,deep,low,yes,no,3.76,1.88,3.85,170,SOLO DEEP,3.76,170
800,2,5,deep,low,yes,yes,4.39,2.19,5.95,195,SOLO DEEP,4.39,200
800,2,5,deep,medium,no,no,4.37,2.18,2.78,195,SOLO DEEP,4.37,195
800,2,5,deep,medium,no,yes,4.99,2.5,4.88,225,SOLO DEEP,4.99,225
800,2,5,deep,medium,yes,no,4.05,2.03,4.48,180,SOLO DEEP,4.05,180
800,2,5,deep,medium,yes,yes,4.68,2.34,6.58,210,SOLO DEEP,4.68,210
800,2,5,deep,high,no,no,5.09,2.54,6.89,230,SOLO DEEP,5.09,230
800,2,5,deep,high,no,yes,5.72,2.86,8.99,255,SOLO DEEP,5.72,255
800,2,5,deep,high,yes,no,4.78,2.39,8.59,215,SOLO DEEP,4.78,215
800,2,5,deep,high,yes,yes,5.41,2.7,10.69,245,SOLO DEEP,5.41,245
800,3,1,standard,low,no,no,2.24,1.12,1.07,100,SOLO STANDARD,2.24,100
800,3,1,standard,low,no,yes,2.87,1.43,3.17,130,SOLO STANDARD,2.87,130
800,3,1,standard,low,yes,no,1.93,0.96,2.77,85,SOLO STANDARD,1.93,85
800,3,1,standard,low,yes,yes,2.56,1.28,4.87,115,SOLO STANDARD,2.56,115
800,3,1,standard,medium,no,no,2.53,1.27,1.38,115,SOLO STANDARD,2.53,115
800,3,1,standard,medium,no,yes,3.16,1.58,3.48,140,SOLO STANDARD,3.16,140
800,3,1,standard,medium,yes,no,2.22,1.11,3.08,100,SOLO STANDARD,2.22,100
800,3,1,standard,medium,yes,yes,2.85,1.43,5.18,130,SOLO STANDARD,2.85,130
800,3,1,standard,high,no,no,3.25,1.63,3.43,145,SOLO STANDARD,3.25,145
800,3,1,standard,high,no,yes,3.88,1.94,5.53,175,SOLO STANDARD,3.88,175
800,3,1,standard,high,yes,no,2.94,1.47,5.13,130,SOLO STANDARD,2.94,130
800,3,1,standard,high,yes,yes,3.57,1.79,7.23,160,SOLO STANDARD,3.57,160
